Net Square Meter,Number of Rooms,Floor Number,Heating Type,Credit Eligibility,Number of Bathrooms,Number of WC,Gross Square Meter,Building Age,Number of Floors in Building,Within Site,Balcony,house is furnished,Price,Location
780 m²,9+ Oda,,Isıtma Yok,Krediye Uygun,6+,,3.015 m²,21 Ve Üzeri,2,Hayır,,,125.000.000,İstanbul - Adalar - Maden Mh.
117 m²,4+2,,Kombi Doğalgaz,Krediye Uygun,2,,129 m²,21 Ve Üzeri,2,Hayır,,,15.000.000,İstanbul - Adalar - Nizam Mh.
117 m²,4+1,2.Kat,Klimalı,Krediye Uygun,2,,138 m²,21 Ve Üzeri,4,Hayır,,,12.500.000,İstanbul - Adalar - Nizam Mh.
53 m²,1+1,,Kombi Doğalgaz,Krediye Uygun Değil,1,,110 m²,21 Ve Üzeri,2,Hayır,,,8.500.000,İstanbul - Adalar - Nizam Mh.
315 m²,8+1,,Kombi Doğalgaz,Krediye Uygun,3,,462 m²,21 Ve Üzeri,2,Hayır,,,35.000.000,İstanbul - Adalar - Maden Mh.
78 m²,3+2,,Kombi Doğalgaz,Krediye Uygun,2,,114 m²,21 Ve Üzeri,2,Hayır,,,10.000.000,İstanbul - Adalar - Nizam Mh.
123 m²,4+1,3.Kat,Klimalı,Krediye Uygun,2,,156 m²,21 Ve Üzeri,4,Hayır,,,13.250.000,İstanbul - Adalar - Nizam Mh.
114 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,165 m²,21 Ve Üzeri,3,Hayır,,,13.000.000,İstanbul - Adalar - Nizam Mh.
128 m²,4+1,,Isıtma Yok,Krediye Uygun,3,,148 m²,21 Ve Üzeri,2,Hayır,,,36.000.000,İstanbul - Adalar - Nizam Mh.
267 m²,8+3,,Isıtma Yok,Krediye Uygun,4,,333 m²,21 Ve Üzeri,2,Hayır,,,25.000.000,İstanbul - Adalar - Nizam Mh.
360 m²,8+2,,Kombi Doğalgaz,Krediye Uygun,6+,,747 m²,21 Ve Üzeri,2,Hayır,,,35.200.000,İstanbul - Adalar - Maden Mh.
310 m²,9+ Oda,,Klimalı,Krediye Uygun,6+,,408 m²,21 Ve Üzeri,2,Hayır,,,450.000.000,İstanbul - Adalar - Nizam Mh.
