Net Square Meter,Number of Rooms,Floor Number,Heating Type,Credit Eligibility,Number of Bathrooms,Number of WC,Gross Square Meter,Building Age,Number of Floors in Building,Within Site,Balcony,house is furnished,Price,Location
20 m²,1 Oda,,Isıtma Yok,Bilinmiyor,Yok,,21 m²,0 (Yeni),1,Hayır,,,60.000,İstanbul - Ataşehir - Mevlana Mh.
78 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,5-10,5,Hayır,,Boş,5.700.000,İstanbul - Ataşehir - Örnek Mh.
185 m²,5+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,3,Yok,220 m²,11-15,5,Hayır,,Boş,8.250.000,İstanbul - Ataşehir - Yenişehir Mh.
440 m²,4+2,,Kombi Doğalgaz,Bilinmiyor,3,,453 m²,21 Ve Üzeri,2,Hayır,,,27.500.000,İstanbul - Ataşehir - Ferhatpaşa Mh.
82 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,90 m²,0 (Yeni),9,Hayır,Var,,5.850.000,İstanbul - Ataşehir - İçerenköy Mh.
110 m²,3+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,130 m²,11-15,4,Hayır,,Boş,3.975.000,İstanbul - Ataşehir - İnönü Mh.
60 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,75 m²,11-15,3,Hayır,,,3.200.000,İstanbul - Ataşehir - Esatpaşa Mh.
3.500 m²,Stüdyo,10.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,,3.600 m²,5-10,30,Hayır,,Boş,450.000.000,İstanbul - Ataşehir - Atatürk Mh.
120 m²,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,125 m²,4,8,Hayır,,Boş,5.150.000,İstanbul - Ataşehir - Örnek Mh.
210 m²,5+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,250 m²,0 (Yeni),4,Hayır,,Boş,8.400.000,İstanbul - Ataşehir - Esatpaşa Mh.
95 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,110 m²,0 (Yeni),2,Hayır,,,5.500.000,İstanbul - Ataşehir - Esatpaşa Mh.
75 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun Değil,1,,85 m²,0 (Yeni),4,Hayır,,,3.100.000,İstanbul - Ataşehir - Esatpaşa Mh.
70 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,85 m²,11-15,5,Hayır,Yok,Eşyalı,3.650.000,İstanbul - Ataşehir - İnönü Mh.
55 m²,1+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,70 m²,11-15,40,Evet,Yok,Eşyalı,5.550.000,İstanbul - Ataşehir - Barbaros Mh.
120 m²,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,135 m²,0 (Yeni),4,Hayır,,,5.750.000,İstanbul - Ataşehir - Örnek Mh.
83 m²,2+1,6.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,97 m²,21 Ve Üzeri,8,Hayır,Var,Boş,6.250.000,İstanbul - Ataşehir - İçerenköy Mh.
155 m²,4+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,2,,170 m²,0 (Yeni),6,Hayır,,,8.750.000,İstanbul - Ataşehir - İçerenköy Mh.
85 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,97 m²,0 (Yeni),6,Hayır,Var,,6.500.000,İstanbul - Ataşehir - İçerenköy Mh.
90 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,110 m²,5-10,6,Hayır,,,5.000.000,İstanbul - Ataşehir - İçerenköy Mh.
110 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,125 m²,21 Ve Üzeri,6,Hayır,Var,,5.100.000,İstanbul - Ataşehir - İçerenköy Mh.
90 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,100 m²,11-15,3,Hayır,,Boş,3.250.000,İstanbul - Ataşehir - Mustafa Kemal Mh.
70 m²,2+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,21 Ve Üzeri,5,Hayır,,,3.150.000,İstanbul - Ataşehir - İçerenköy Mh.
70 m²,2+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,1,,80 m²,21 Ve Üzeri,5,Hayır,,,3.150.000,İstanbul - Ataşehir - İçerenköy Mh.
80 m²,2+1,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),5,Hayır,,,2.950.000,İstanbul - Ataşehir - İçerenköy Mh.
85 m²,2+1,10.Kat,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,21 Ve Üzeri,10,Hayır,,,4.000.000,İstanbul - Ataşehir - İçerenköy Mh.
40 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,1,55 m²,0 (Yeni),4,Hayır,Yok,Boş,2.800.000,İstanbul - Ataşehir - Örnek Mh.
45 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,65 m²,0 (Yeni),3,Hayır,,,3.500.000,İstanbul - Ataşehir - Örnek Mh.
599 m²,1 Oda,,Kombi Doğalgaz,Krediye Uygun,Yok,,600 m²,21 Ve Üzeri,3,Hayır,,,13.900.000,İstanbul - Ataşehir - Kayışdağı Mh.
120 m²,3+2,4.Kat,Yerden Isıtma,Krediye Uygun,2,,140 m²,0 (Yeni),4,Hayır,,,11.000.000,İstanbul - Ataşehir - Örnek Mh.
45 m²,1+1,Düz Giriş (Zemin),Klimalı,Krediye Uygun,1,,55 m²,0 (Yeni),4,Hayır,,,3.200.000,İstanbul - Ataşehir - Örnek Mh.
60 m²,1+1,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,1,,70 m²,11-15,20,Evet,,Boş,7.000.000,İstanbul - Ataşehir - Barbaros Mh.
70 m²,2+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,1,1,75 m²,5-10,3,Hayır,Var,Boş,2.675.000,İstanbul - Ataşehir - Kayışdağı Mh.
120 m²,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,2,,155 m²,11-15,8,Hayır,,Boş,6.490.000,İstanbul - Ataşehir - Küçükbakkalköy Mh.
60 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,65 m²,11-15,4,Hayır,,,2.800.000,İstanbul - Ataşehir - İçerenköy Mh.
60 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,75 m²,0 (Yeni),4,Hayır,,,5.200.000,İstanbul - Ataşehir - Örnek Mh.
75 m²,2+1,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,,95 m²,4,8,Hayır,Yok,Boş,4.480.000,İstanbul - Ataşehir - Esatpaşa Mh.
80 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,5-10,3,Hayır,,,4.000.000,İstanbul - Ataşehir - Esatpaşa Mh.
75 m²,2+1,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,0 (Yeni),5,Hayır,,,2.950.000,İstanbul - Ataşehir - İçerenköy Mh.
102 m²,2+1,25.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,120 m²,5-10,32,Evet,Yok,,8.250.000,İstanbul - Ataşehir - Küçükbakkalköy Mh.
70 m²,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,1,,75 m²,11-15,4,Hayır,,,3.000.000,İstanbul - Ataşehir - İçerenköy Mh.
60 m²,1+1,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,,70 m²,11-15,20,Evet,,Boş,7.000.000,İstanbul - Ataşehir - Barbaros Mh.
90 m²,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,21 Ve Üzeri,7,Hayır,,Boş,3.700.000,İstanbul - Ataşehir - İçerenköy Mh.
110 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,120 m²,0 (Yeni),4,Hayır,,,5.000.000,İstanbul - Ataşehir - Örnek Mh.
90 m²,3+1,8.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,100 m²,0 (Yeni),9,Hayır,,Boş,6.475.000,İstanbul - Ataşehir - İnönü Mh.
110 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,135 m²,11-15,3,Hayır,,Boş,2.650.000,İstanbul - Ataşehir - Esatpaşa Mh.
205 m²,4+2,5.Kat,Kombi Doğalgaz,Krediye Uygun,4,,240 m²,1,5,Hayır,,Boş,7.400.000,İstanbul - Ataşehir - İçerenköy Mh.
120 m²,3+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,2,,135 m²,0 (Yeni),4,Hayır,,,5.300.000,İstanbul - Ataşehir - Örnek Mh.
140 m²,4+2,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,145 m²,0 (Yeni),3,Hayır,,,6.000.000,İstanbul - Ataşehir - Esatpaşa Mh.
105 m²,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,2,,135 m²,21 Ve Üzeri,11,Evet,,,3.750.000,İstanbul - Ataşehir - İçerenköy Mh.
749 m²,1 Oda,,Kombi Doğalgaz,Krediye Uygun,Yok,,750 m²,5-10,5,Hayır,,,40.000.000,İstanbul - Ataşehir - Barbaros Mh.
120 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,140 m²,21 Ve Üzeri,7,Hayır,,Boş,3.950.000,İstanbul - Ataşehir - İçerenköy Mh.
80 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,Yok,95 m²,0 (Yeni),4,Hayır,Var,Boş,5.250.000,İstanbul - Ataşehir - Fetih Mh.
120 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,140 m²,21 Ve Üzeri,8,Hayır,Var,Boş,5.200.000,İstanbul - Ataşehir - İçerenköy Mh.
100 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,120 m²,11-15,3,Hayır,,Boş,4.150.000,İstanbul - Ataşehir - Esatpaşa Mh.
87 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,5-10,10,Evet,,,4.500.000,İstanbul - Ataşehir - İnönü Mh.
185 m²,5+2,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,3,2,220 m²,11-15,5,Hayır,Var,,8.250.000,İstanbul - Ataşehir - Yenişehir Mh.
140 m²,3+2,2.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,180 m²,5-10,2,Hayır,,,5.500.000,İstanbul - Ataşehir - Örnek Mh.
120 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,135 m²,11-15,5,Hayır,Var,Boş,7.250.000,İstanbul - Ataşehir - İnönü Mh.
128 m²,4+2,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,150 m²,0 (Yeni),3,Hayır,Yok,Boş,6.050.000,İstanbul - Ataşehir - Esatpaşa Mh.
110 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,145 m²,5-10,9,Hayır,Var,,9.500.000,İstanbul - Ataşehir - İçerenköy Mh.
80 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,11-15,4,Hayır,,Boş,3.800.000,İstanbul - Ataşehir - İnönü Mh.
220 m²,5+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,3,,250 m²,11-15,4,Hayır,Var,,7.500.000,İstanbul - Ataşehir - İçerenköy Mh.
200 m²,5+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,3,,220 m²,11-15,4,Hayır,Var,,7.500.000,İstanbul - Ataşehir - İçerenköy Mh.
75 m²,2+1,5.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,1,85 m²,5-10,8,Evet,Var,,3.800.000,İstanbul - Ataşehir - Esatpaşa Mh.
85 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,11-15,4,Hayır,,Boş,3.800.000,İstanbul - Ataşehir - İnönü Mh.
85 m²,2+1,6.Kat,Merkezi Doğalgaz,Krediye Uygun,1,,110 m²,5-10,9,Evet,Var,,12.000.000,İstanbul - Ataşehir - Küçükbakkalköy Mh.
180 m²,3+2,6.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,200 m²,0 (Yeni),7,Hayır,Var,Boş,6.750.000,İstanbul - Ataşehir - Örnek Mh.
190 m²,4+2,6.Kat,Kombi Doğalgaz,Krediye Uygun,2,,220 m²,0 (Yeni),7,Hayır,Var,Boş,7.250.000,İstanbul - Ataşehir - Örnek Mh.
105 m²,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,2,,135 m²,11-15,8,Hayır,Var,,6.450.000,İstanbul - Ataşehir - İçerenköy Mh.
93 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,125 m²,0 (Yeni),7,Hayır,Var,Boş,4.250.000,İstanbul - Ataşehir - Örnek Mh.
100 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,0 (Yeni),4,Hayır,,,2.775.000,İstanbul - Avcılar - Merkez Mh.
75 m²,1+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,,2.200.000,İstanbul - Avcılar - Cihangir Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,110 m²,21 Ve Üzeri,4,Evet,,,2.250.000,İstanbul - Avcılar - Denizköşkler Mh.
100 m²,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,110 m²,21 Ve Üzeri,5,Hayır,Var,Boş,1.950.000,İstanbul - Avcılar - Merkez Mh.
95 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,100 m²,21 Ve Üzeri,4,Hayır,Var,Boş,1.850.000,İstanbul - Avcılar - Cihangir Mh.
100 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,0 (Yeni),4,Hayır,,Boş,4.150.000,İstanbul - Avcılar - Gümüşpala Mh.
90 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,105 m²,0 (Yeni),5,Hayır,,Boş,3.950.000,İstanbul - Avcılar - Merkez Mh.
163 m²,1 Oda,,Kombi Doğalgaz,Krediye Uygun,Yok,,164 m²,21 Ve Üzeri,5,Hayır,,,10.000.000,İstanbul - Avcılar - Ambarlı Mh.
40 m²,1+1,Düz Giriş (Zemin),Merkezi Doğalgaz,Krediye Uygun Değil,1,,70 m²,0 (Yeni),5,Evet,,,4.750.000,İstanbul - Avcılar - Firuzköy Mh.
130 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,140 m²,0 (Yeni),5,Hayır,,Boş,5.650.000,İstanbul - Avcılar - Merkez Mh.
200 m²,4+2,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,2,3,220 m²,0 (Yeni),3,Hayır,,,5.740.000,İstanbul - Avcılar - Gümüşpala Mh.
40 m²,1+1,Bodrum Kat,Merkezi Doğalgaz,Krediye Uygun Değil,1,,80 m²,0 (Yeni),5,Evet,,,4.450.000,İstanbul - Avcılar - Firuzköy Mh.
38 m²,1+1,Bodrum Kat,Merkezi Doğalgaz,Krediye Uygun Değil,1,,75 m²,0 (Yeni),5,Evet,,,4.250.000,İstanbul - Avcılar - Firuzköy Mh.
90 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,5-10,4,Hayır,,,2.900.000,İstanbul - Avcılar - Mustafa Kemal Paşa Mh.
128 m²,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,2,,135 m²,0 (Yeni),3,Hayır,,,4.600.000,İstanbul - Avcılar - Cihangir Mh.
90 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,100 m²,0 (Yeni),5,Hayır,,,2.475.000,İstanbul - Avcılar - Ambarlı Mh.
145 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,150 m²,0 (Yeni),7,Evet,,Boş,5.750.000,İstanbul - Avcılar - Firuzköy Mh.
100 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,21 Ve Üzeri,4,Hayır,,,1.500.000,İstanbul - Avcılar - Denizköşkler Mh.
70 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,1,75 m²,11-15,5,Hayır,Yok,Boş,2.150.000,İstanbul - Avcılar - Gümüşpala Mh.
92 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,,105 m²,0 (Yeni),5,Hayır,,Boş,3.600.000,İstanbul - Avcılar - Merkez Mh.
95 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,115 m²,0 (Yeni),4,Hayır,,,2.750.000,İstanbul - Avcılar - Mustafa Kemal Paşa Mh.
95 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,105 m²,0 (Yeni),4,Hayır,,,2.775.000,İstanbul - Avcılar - Merkez Mh.
399 m²,1 Oda,,Kombi Doğalgaz,Krediye Uygun,Yok,,400 m²,5-10,3,Hayır,,,75.000.000,İstanbul - Avcılar - Cihangir Mh.
52 m²,2+1,2.Kat,Merkezi Doğalgaz,Krediye Uygun Değil,1,,85 m²,0 (Yeni),5,Evet,,,5.000.000,İstanbul - Avcılar - Firuzköy Mh.
120 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,130 m²,0 (Yeni),5,Hayır,,Boş,5.500.000,İstanbul - Avcılar - Merkez Mh.
130 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,140 m²,0 (Yeni),5,Hayır,,,5.650.000,İstanbul - Avcılar - Merkez Mh.
130 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,140 m²,11-15,5,Hayır,,,3.200.000,İstanbul - Avcılar - Denizköşkler Mh.
65 m²,1+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,75 m²,5-10,5,Hayır,,,2.300.000,İstanbul - Avcılar - Ambarlı Mh.
75 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,21 Ve Üzeri,4,Hayır,,,1.375.000,İstanbul - Avcılar - Denizköşkler Mh.
80 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,5-10,3,Hayır,,,1.350.000,İstanbul - Avcılar - Denizköşkler Mh.
106 m²,3+1,20.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,1.160 m²,5-10,23,Evet,,Boş,6.100.000,İstanbul - Avcılar - Tahtakale Mh.
95 m²,2+1,20.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,,125 m²,5-10,30,Hayır,,Boş,4.650.000,İstanbul - Avcılar - Tahtakale Mh.
80 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,5-10,18,Evet,,Boş,4.950.000,İstanbul - Avcılar - Tahtakale Mh.
95 m²,2+1,5.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,1,,120 m²,5-10,12,Evet,,Boş,4.450.000,İstanbul - Avcılar - Tahtakale Mh.
96 m²,2+1,7.Kat,Merkezi Doğalgaz,Krediye Uygun,1,,134 m²,0 (Yeni),15,Hayır,,,9.000.000,İstanbul - Avcılar - Firuzköy Mh.
165 m²,3+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,175 m²,0 (Yeni),4,Hayır,,Boş,4.675.000,İstanbul - Avcılar - Mustafa Kemal Paşa Mh.
1.800 m²,9+ Oda,,Kombi Doğalgaz,Krediye Uygun,6+,,1.976 m²,0 (Yeni),4,Evet,,Boş,112.000.000,İstanbul - Avcılar - Firuzköy Mh.
520 m²,5+3,,Kombi Doğalgaz,Krediye Uygun,3,,571 m²,0 (Yeni),4,Evet,,Boş,33.000.000,İstanbul - Avcılar - Firuzköy Mh.
92 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,,105 m²,0 (Yeni),5,Hayır,,Boş,3.550.000,İstanbul - Avcılar - Merkez Mh.
380 m²,6+3,,Kombi Doğalgaz,Krediye Uygun,3,,417 m²,0 (Yeni),4,Evet,,Boş,25.000.000,İstanbul - Avcılar - Firuzköy Mh.
65 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,75 m²,21 Ve Üzeri,4,Hayır,,Boş,1.100.000,İstanbul - Avcılar - Merkez Mh.
180 m²,4+2,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil,2,,190 m²,0 (Yeni),4,Hayır,,Boş,4.620.000,İstanbul - Avcılar - Merkez Mh.
175 m²,4+1,5.Kat,Kombi Doğalgaz,Krediye Uygun Değil,2,,185 m²,21 Ve Üzeri,5,Hayır,,Boş,2.800.000,İstanbul - Avcılar - Merkez Mh.
89 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,,105 m²,0 (Yeni),5,Hayır,,Boş,3.550.000,İstanbul - Avcılar - Merkez Mh.
90 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,11-15,5,Hayır,,Boş,2.750.000,İstanbul - Avcılar - Gümüşpala Mh.
90 m²,2+1,Çatı Dubleks,Merkezi (Pay Ölçer),Krediye Uygun,2,,130 m²,5-10,7,Evet,,,5.500.000,İstanbul - Avcılar - Üniversite Mh.
120 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,130 m²,0 (Yeni),5,Hayır,,,5.100.000,İstanbul - Avcılar - Merkez Mh.
85 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),5,Hayır,,,3.750.000,İstanbul - Avcılar - Ambarlı Mh.
75 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,0 (Yeni),5,Hayır,,,2.700.000,İstanbul - Avcılar - Gümüşpala Mh.
70 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,78 m²,0 (Yeni),5,Hayır,,,2.000.000,İstanbul - Avcılar - Ambarlı Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,0 (Yeni),4,Hayır,,,3.450.000,İstanbul - Avcılar - Cihangir Mh.
80 m²,1+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,,1.950.000,İstanbul - Avcılar - Denizköşkler Mh.
75 m²,1+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,,2.200.000,İstanbul - Avcılar - Cihangir Mh.
100 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,5-10,5,Hayır,,,1.900.000,İstanbul - Avcılar - Cihangir Mh.
100 m²,2+1,5.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,2,110 m²,21 Ve Üzeri,6,Hayır,Var,Boş,1.600.000,İstanbul - Avcılar - Cihangir Mh.
85 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,110 m²,0 (Yeni),4,Hayır,Var,,3.650.000,İstanbul - Avcılar - Tahtakale Mh.
80 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,85 m²,5-10,4,Hayır,,Eşyalı,2.375.000,İstanbul - Avcılar - Denizköşkler Mh.
55 m²,1+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,75 m²,5-10,4,Hayır,,,1.375.000,İstanbul - Avcılar - Denizköşkler Mh.
85 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,95 m²,1,5,Hayır,,,2.599.000,İstanbul - Avcılar - Merkez Mh.
55 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,60 m²,5-10,4,Hayır,,,1.910.000,İstanbul - Avcılar - Cihangir Mh.
90 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,2,,100 m²,5-10,4,Hayır,,,1.720.000,İstanbul - Avcılar - Mustafa Kemal Paşa Mh.
80 m²,1+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,,1.950.000,İstanbul - Avcılar - Denizköşkler Mh.
75 m²,1+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,,2.200.000,İstanbul - Avcılar - Cihangir Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,0 (Yeni),4,Hayır,,,3.450.000,İstanbul - Avcılar - Cihangir Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,0 (Yeni),4,Hayır,,,3.450.000,İstanbul - Avcılar - Cihangir Mh.
240 m²,6+2,4.Kat,Kombi Doğalgaz,Krediye Uygun,4,,260 m²,0 (Yeni),5,Hayır,,Boş,7.500.000,İstanbul - Avcılar - Ambarlı Mh.
78 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,90 m²,0 (Yeni),5,Hayır,,Boş,3.150.000,İstanbul - Avcılar - Merkez Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,0 (Yeni),5,Hayır,,Boş,3.990.000,İstanbul - Avcılar - Merkez Mh.
400 m²,5+2,,Kombi Doğalgaz,Krediye Uygun,3,,500 m²,21 Ve Üzeri,4,Evet,,Boş,23.400.000,İstanbul - Avcılar - Denizköşkler Mh.
130 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,150 m²,0 (Yeni),4,Hayır,,,3.900.000,İstanbul - Avcılar - Cihangir Mh.
95 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,0 (Yeni),4,Hayır,,,3.450.000,İstanbul - Avcılar - Cihangir Mh.
75 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,96 m²,0 (Yeni),3,Hayır,,,3.400.000,İstanbul - Avcılar - Gümüşpala Mh.
75 m²,1+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,,2.200.000,İstanbul - Avcılar - Cihangir Mh.
80 m²,1+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,,1.950.000,İstanbul - Avcılar - Denizköşkler Mh.
75 m²,1+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,90 m²,0 (Yeni),3,Hayır,,Boş,2.050.000,İstanbul - Avcılar - Mustafa Kemal Paşa Mh.
115 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,2,,125 m²,0 (Yeni),5,Hayır,,Boş,4.300.000,İstanbul - Avcılar - Ambarlı Mh.
100 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,4,6,Hayır,,,1.700.000,İstanbul - Avcılar - Cihangir Mh.
165 m²,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,,200 m²,21 Ve Üzeri,4,Hayır,,Boş,3.600.000,İstanbul - Avcılar - Denizköşkler Mh.
200 m²,6+3,,Kombi Doğalgaz,Krediye Uygun,3,3,225 m²,21 Ve Üzeri,3,Hayır,Var,Boş,7.475.000,İstanbul - Avcılar - Firuzköy Mh.
140 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,180 m²,0 (Yeni),3,Hayır,,,6.990.000,İstanbul - Avcılar - Denizköşkler Mh.
